timestamp,date,time,open,high,low,close,volume
2022-07-02 09:00:00,02/07/2022,09:00:00,6.749,6.904,6.615,6.817,25018571.3
2022-07-03 09:00:00,03/07/2022,09:00:00,6.818,6.98,6.602,6.846,23881230.7
2022-07-04 09:00:00,04/07/2022,09:00:00,6.846,7.219,6.65,7.16,29054703.2
2022-07-05 09:00:00,05/07/2022,09:00:00,7.159,7.22,6.572,6.832,45335355.7
2022-07-06 09:00:00,06/07/2022,09:00:00,6.833,7.007,6.673,6.919,34536202.4
2022-07-07 09:00:00,07/07/2022,09:00:00,6.918,7.348,6.875,7.298,31059919.2
2022-07-08 09:00:00,08/07/2022,09:00:00,7.299,7.461,6.931,7.032,34247729.5
2022-07-09 09:00:00,09/07/2022,09:00:00,7.031,7.359,7.025,7.25,21882152.4
2022-07-10 09:00:00,10/07/2022,09:00:00,7.249,7.266,6.755,6.853,24172048.1
2022-07-11 09:00:00,11/07/2022,09:00:00,6.853,6.907,6.481,6.521,33844010.9
2022-07-12 09:00:00,12/07/2022,09:00:00,6.521,6.62,6.238,6.274,35288918.1
2022-07-13 09:00:00,13/07/2022,09:00:00,6.272,6.558,5.94,6.458,41993867.1
2022-07-14 09:00:00,14/07/2022,09:00:00,6.459,6.764,6.28,6.717,35323430.8
2022-07-15 09:00:00,15/07/2022,09:00:00,6.716,6.99,6.651,6.792,32699305.5
2022-07-16 09:00:00,16/07/2022,09:00:00,6.791,7.215,6.554,7.184,35438113.5
2022-07-17 09:00:00,17/07/2022,09:00:00,7.184,7.322,6.867,6.914,28962804.4
2022-07-18 09:00:00,18/07/2022,09:00:00,6.914,7.721,6.896,7.647,49994927.4
2022-07-19 09:00:00,19/07/2022,09:00:00,7.648,8.039,7.48,7.784,60777224.9
2022-07-20 09:00:00,20/07/2022,09:00:00,7.784,8.078,7.355,7.46,46603606.2
2022-07-21 09:00:00,21/07/2022,09:00:00,7.461,7.588,7.168,7.523,36760666.5
2022-07-22 09:00:00,22/07/2022,09:00:00,7.522,7.846,7.254,7.285,38393531.4
2022-07-23 09:00:00,23/07/2022,09:00:00,7.286,7.489,7.069,7.319,26928735.8
2022-07-24 09:00:00,24/07/2022,09:00:00,7.32,7.579,7.3,7.392,30016692.7
2022-07-25 09:00:00,25/07/2022,09:00:00,7.393,7.441,6.71,6.747,39615117.3
2022-07-26 09:00:00,26/07/2022,09:00:00,6.747,6.786,6.511,6.768,32039660.2
2022-07-27 09:00:00,27/07/2022,09:00:00,6.769,7.705,6.641,7.67,38836358.5
2022-07-28 09:00:00,28/07/2022,09:00:00,7.67,8.074,7.45,7.85,52352051.4
2022-07-29 09:00:00,29/07/2022,09:00:00,7.851,8.421,7.753,8.178,43608338.0
2022-07-30 09:00:00,30/07/2022,09:00:00,8.179,8.847,8.15,8.208,46461634.1
2022-07-31 09:00:00,31/07/2022,09:00:00,8.207,9.206,8.073,8.616,51129159.9
2022-08-01 09:00:00,01/08/2022,09:00:00,8.616,8.986,8.0,8.173,50289775.5
2022-08-02 09:00:00,02/08/2022,09:00:00,8.173,8.269,7.664,7.92,50382705.3
2022-08-03 09:00:00,03/08/2022,09:00:00,7.919,8.441,7.666,7.986,37310335.6
2022-08-04 09:00:00,04/08/2022,09:00:00,7.986,8.27,7.876,8.087,33556489.7
2022-08-05 09:00:00,05/08/2022,09:00:00,8.085,8.837,8.063,8.8,39850531.9
2022-08-06 09:00:00,06/08/2022,09:00:00,8.8,8.879,8.478,8.512,25274821.9
2022-08-07 09:00:00,07/08/2022,09:00:00,8.513,8.937,8.326,8.646,25058444.3
2022-08-08 09:00:00,08/08/2022,09:00:00,8.647,9.387,8.629,9.263,43405536.5
2022-08-09 09:00:00,09/08/2022,09:00:00,9.262,9.478,8.64,8.895,37175981.6
2022-08-10 09:00:00,10/08/2022,09:00:00,8.894,9.648,8.537,9.52,50712051.7
2022-08-11 09:00:00,11/08/2022,09:00:00,9.521,9.645,9.118,9.189,37719831.5
2022-08-12 09:00:00,12/08/2022,09:00:00,9.19,9.494,9.022,9.471,28339779.7
2022-08-13 09:00:00,13/08/2022,09:00:00,9.471,9.677,9.239,9.297,24441335.8
2022-08-14 09:00:00,14/08/2022,09:00:00,9.297,9.556,8.815,8.949,29805504.1
2022-08-15 09:00:00,15/08/2022,09:00:00,8.948,9.379,8.614,8.775,35527060.4
2022-08-16 09:00:00,16/08/2022,09:00:00,8.775,8.959,8.624,8.829,27766702.0
2022-08-17 09:00:00,17/08/2022,09:00:00,8.829,9.164,8.31,8.371,37041657.0
2022-08-18 09:00:00,18/08/2022,09:00:00,8.371,8.596,7.915,8.074,29185584.7
2022-08-19 09:00:00,19/08/2022,09:00:00,8.074,8.086,7.215,7.298,50356803.9
2022-08-20 09:00:00,20/08/2022,09:00:00,7.298,7.513,7.023,7.218,33336678.2
2022-08-21 09:00:00,21/08/2022,09:00:00,7.218,7.529,7.16,7.427,24608517.5
2022-08-22 09:00:00,22/08/2022,09:00:00,7.428,7.437,6.983,7.398,31436369.1
